product_name,Product_id,product_description,product_categories,product_features,avg_product_rating,no_of_ratings,username,user_id,review_text,helpful_votes,review_rating,verified_purchase
KARL LAGERFELD Shoulder Crossbody Handbag,B0CR6XS3SL,"Features: shoulder, pebble, leather, agyness
10""W x 6""H x 3""D
Classic, rock-chic style: KLP designer handbags make a statement no matter how you pair them.
Make a statement: Our signature craftsmanship is part of what makes our handbags so special. Even better--they can be worn with everything.","Sponsored 
Clothing, Shoes & Jewelry›Women›Handbags & Wallets›Crossbody Bags"," Fabric type
PEBBLE LEATHER
Origin
Imported
Closure type
Zipper
",4.5,160,Rohail Hada,AH5ACDPDM2WDFQDYLX7ATUVJGP5A,This bag is exactly what i was looking for.. feels and looks luxurious plus very practical. It has plenty of space for everything. Quality is great too,19,5,TRUE
KARL LAGERFELD Shoulder Crossbody Handbag,B08R6HXXD4,"Classic, luxurious design: Our Karl Lagerfeld Paris designer handbags for women make a statement no matter how you pair them; this shoulder bag features chic quilting on the flap and a timeless chain strap
Stye and security: These handbags are made with 2 interior slip pockets,1 interior zip pocket and 1 exterior zip pocket to organize and keep your purse essentials secure
Make a statement: Our signature Karl Lagerfeld women branded lock and design make this handbag easy to identify and enhance any dress, suit, or outfit
Travel with flair: Our handbags for women are meant to offer versatile, functional styling that doesn't sacrifice on design; this large purse adds elegance to each outfit, no matter where you’re headed
Accent every outfit: Accentuate every jacket, coat, dress, suit, workout outfit, or gown with a shoulder purse or any other Karl Lagerfeld handbags","Sponsored 
Clothing, Shoes & Jewelry›Women›Handbags & Wallets›Shoulder Bags","
Fabric type
PEBBLE
Origin
Imported
Closure type
Flap
Country of Origin
Vietnam
",4.5,160, Annie,AF37AP47BHCWK2K473A7J62UAPOQ,The handbag is lovely. Leather seems good quality. The color is a bit darker than I thought but it will match many other colors. The size is ideal as well as the organization inside. Great Chanel type purse.,27,5,TRUE
KARL LAGERFELD Shoulder Crossbody Handbag, B0C7FR8MS9,"Karl Lagerfeld Paris Handbags: Fashion you can count on for simple, comfortable style
Your new hands-down favorite: Wear this purse and keep your hands free with style and functionality
Your daily accessory: Karl Lagerfeld Paris handbags for women are good for every day and pair well with business casual outfits for women
Exude confidence: Flaunt this handbag on any occasion; easy to take on the go as one of your essential travel accessories","Sponsored 
Clothing, Shoes & Jewelry›Women›Handbags & Wallets›Shoulder Bags","Fabric type
100% COW LEATHER
Origin
Imported
Closure type
Magnetic
Lining
Polyester
Country of Origin
Vietnam
",4.5,160, Jojo,AHXRHQ76QWOKDTK5LJ5XB2XLATKQ,"Love this bag except for that the snap closure is annoying because you need to manipulate it to line it up perfectly or when you pick up the bag from its straps, the flap goes wide open and items can potentially spill. But I still love it. Patent leather is beautiful.",13,4,TRUE
Rebecca Minkoff Women's Chevron Quilted Love Crossbody Bag, B01MFAJNO0,"TRENDY CROSSBODY PURSES FOR WOMEN: Meet your new going-out bag that features a quilted design and eye-catching hardware. The Chevron Quilted Small Love Crossbody is a match made in heaven to pair with any outfit in your wardrobe.
CRAFTED WITH QUALITY LEATHER: Featuring an attractive and durable build, this 100% leather handbag has the perfect construction so you can use it everyday as your favorite staple accessory piece.
VERSATILE FOR ANY OUTFIT: Wear this purse as a practical crossbody or remove the chain strap to use as a clutch for an elegant evening. The strap can extend from 14 to 23 inches to match your height.
PRACTICAL COMPACT SIZE: This small purse for women is 9.75” in width, 6” in height, and 3” in depth. Easily fit your phone, wallet, and other small items thanks to the exterior back slip pocket, interior zip pocket and three interior card slots.
FOR THE CAREFREE & EDGY WOMAN: Rebecca Minkoff is an industry leader in accessible luxury handbags, accessories, and apparel. The playful and subtly edgy designs on rich leather and suedes integrate an effortless style for women.","Sponsored 
Clothing, Shoes & Jewelry›Women›Handbags & Wallets›Crossbody Bags","
Fabric type
100% LEATHER
Origin
Imported
Closure type
Twist Lock
Lining
Polyester
",4.4,193,MoLesaDione,AHVJJRHQ3QK7XTY75D533HROX44Q,"It’s spacious and sturdy. It stands on its own upright with no tipping over issues. It’s a heavier bag and the hardware is super durable. I don’t mind the weight at all. It’s distributed proportionally and helps stabilize the bag.

There is a huge outside side/back pocket with a magnet that lines up very smoothly along the bag. You could fit a tablet in it for sure. Two slot pockets on the inside, a larger zip compartment and a smaller card pocket in front of that one. All lined up perfectly along the sides of the bag.

The outside flap is super stiff. You’ll need both hands to open the bag because you can’t just flip the flap to the back… not a problem for me. This bag reminds me of a mix of a Chanel boy bag and a mini briefcase.

Again, love the sturdiness of this handbag. It’s perfect if you carry a handgun. And you have plenty of room for everything else.

My only complaint is the Graphite color is much darker in person than what it looks like on this site. I did some research beforehand and I was prepared for either color. I would have returned it had I not been aware of this.

Packaging was great! Hardware was wrapped and all stuffing intact. My bag has no deformities due to packaging.

Item shipped on time in 2 days…

I recommend you get it. Select your preferred seller and get ready to enjoy your new addition. Lol.",162,4,TRUE
Fossil Women's Megan Leather Backpack Purse Handbag,B07GXHX4V9,"Fossil is inspired by American creativity and ingenuity. Bringing new life into the watch and leathers industry by making quality, fashionable accessories that are both fun and accessible
Our mini take on the classic backpack, Megan is ready for any adventure with multiple compartments and pockets to keep you organized in style
Genuine Leather Backpack Purse; Zipper Closure; imported
Exterior Details: 1 Front Zipper Pocket and 1 Back Zipper Pocket; Interior Details: 1 Zipper Pocket and 2 Slide Pockets; Device Compatibility: iPad Air
Measurements: 9.25""L x 5""W x 10.5""H; 2 Backpack Straps; 1 2.5"" Top Handle","Sponsored 
Clothing, Shoes & Jewelry›Luggage & Travel Gear›Backpacks","Care instructions
Hand Wash Only
Outer material
Leather
Inner material
Polyester
Closure type
Zipper
",4.6,220, Maria Marcelo,AE36GAVOG5HR2YQ6V2LTBPNH2KIQ,"Great leather, greats price, amazing style with cute pockets!",19,5,TRUE
Rebecca Minkoff Women's Chevron Quilted Love Crossbody Bag,B01MFAJNO0,"TRENDY CROSSBODY PURSES FOR WOMEN: Meet your new going-out bag that features a quilted design and eye-catching hardware. The Chevron Quilted Small Love Crossbody is a match made in heaven to pair with any outfit in your wardrobe.
CRAFTED WITH QUALITY LEATHER: Featuring an attractive and durable build, this 100% leather handbag has the perfect construction so you can use it everyday as your favorite staple accessory piece.
VERSATILE FOR ANY OUTFIT: Wear this purse as a practical crossbody or remove the chain strap to use as a clutch for an elegant evening. The strap can extend from 14 to 23 inches to match your height.
PRACTICAL COMPACT SIZE: This small purse for women is 9.75” in width, 6” in height, and 3” in depth. Easily fit your phone, wallet, and other small items thanks to the exterior back slip pocket, interior zip pocket and three interior card slots.
FOR THE CAREFREE & EDGY WOMAN: Rebecca Minkoff is an industry leader in accessible luxury handbags, accessories, and apparel. The playful and subtly edgy designs on rich leather and suedes integrate an effortless style for women.","Sponsored 
Clothing, Shoes & Jewelry›Women›Handbags & Wallets›Crossbody Bags","Fabric type
100% LEATHER
Origin
Imported
Closure type
Twist Lock
Lining
Polyester

",4.4,193, AuntieSuzy,AGZL73SOQME6MYKY3AOEUFXCLJ3Q,Great jumbo crossbody. Love Rebecca Minkoff bags. The all black hardware and chain is my favorite neutral look. Disappointed that the black hardware and closure are already losing their finish.,106,3,TRUE
Verabradley Womens Cotton Evie Crossbody Purse, B0CTKVPSN3,"COTTON -- The fabric you know & love, our cotton is lightweight yet durable, & comes in a variety of colorful patterns
EVERYDAY USE - Vera Bradley crossbody bags for women are perfect for any occasion - whether you are heading to work, on a weekend getaway, going to a party, or traveling, they are your perfect daily companion to wear over your shoulder or as a sling bag
A TRAVEL MUST HAVE - We have designed this necessity for every traveler – the interior has 1 zip pocket to keep your essentials in order - With a 56 inch adjustable strap, you decide how your bag fits you
ESSENTIALS AT YOUR FINGERTIPS - Securely store your wallet, keys, & essentials, while sporting a chic crossbody bag for when you reach your destination - the exterior features 2 compartments and a back slip that is ideal for quickly accessing your phone or keys
STYLISH, LIGHTWEIGHT & SIZED RIGHT - The Evie Crossbody measures 6 inches high, 8 inches wide, & 3 inches deep, giving you a slim silhouette & convenient storage for your everyday essentials","Sponsored 
Clothing, Shoes & Jewelry›Women›Handbags & Wallets›Crossbody Bags","Fabric type
Cotton
Origin
Imported
Closure type
Zipper
Lining
Cotton
Country of Origin
Cambodia
",4.7,81,HTEL,AE5OZNHRKNDCWPI3WWJFKVVKDB6A,"Ok I have a mild VB bag obsession. I usually prefer their performance twill for the water resistance, but this print just screamed at me.

Storage: 1 slip pocket on the back, 2 compartments, 1 inner zip slip pocket in the outermost compartment.

I wish the outer slip pocket had a magnet. When I stick my phone in there, the top tends to gape a little.

Other than that, this is a great sized purse for all the basics. Keys, phone, wallet, spf, spf lip balm, hair claw, alcohol gel, spf driving gloves, sunnies, feminine products, mace or other personal protection item, snacks, and travel tissues.
2 people found this helpful",154,5,TRUE
KARL LAGERFELD Shoulder Crossbody Handbag, B0C7FR8MS9,"Karl Lagerfeld Paris Handbags: Fashion you can count on for simple, comfortable style
Your new hands-down favorite: Wear this purse and keep your hands free with style and functionality
Your daily accessory: Karl Lagerfeld Paris handbags for women are good for every day and pair well with business casual outfits for women
Exude confidence: Flaunt this handbag on any occasion; easy to take on the go as one of your essential travel accessories","Sponsored 
Clothing, Shoes & Jewelry›Women›Handbags & Wallets›Shoulder Bags","Fabric type
100% COW LEATHER
Origin
Imported
Closure type
Magnetic
Lining
Polyester
Country of Origin
Vietnam
",4.5,160, Jojo,AHXRHQ76QWOKDTK5LJ5XB2XLATKQ,"Love this bag except for that the snap closure is annoying because you need to manipulate it to line it up perfectly or when you pick up the bag from its straps, the flap goes wide open and items can potentially spill. But I still love it. Patent leather is beautiful.",13,4,TRUE
Rebecca Minkoff Women's Chevron Quilted Love Crossbody Bag, B01MFAJNO0,"TRENDY CROSSBODY PURSES FOR WOMEN: Meet your new going-out bag that features a quilted design and eye-catching hardware. The Chevron Quilted Small Love Crossbody is a match made in heaven to pair with any outfit in your wardrobe.
CRAFTED WITH QUALITY LEATHER: Featuring an attractive and durable build, this 100% leather handbag has the perfect construction so you can use it everyday as your favorite staple accessory piece.
VERSATILE FOR ANY OUTFIT: Wear this purse as a practical crossbody or remove the chain strap to use as a clutch for an elegant evening. The strap can extend from 14 to 23 inches to match your height.
PRACTICAL COMPACT SIZE: This small purse for women is 9.75” in width, 6” in height, and 3” in depth. Easily fit your phone, wallet, and other small items thanks to the exterior back slip pocket, interior zip pocket and three interior card slots.
FOR THE CAREFREE & EDGY WOMAN: Rebecca Minkoff is an industry leader in accessible luxury handbags, accessories, and apparel. The playful and subtly edgy designs on rich leather and suedes integrate an effortless style for women.","Sponsored 
Clothing, Shoes & Jewelry›Women›Handbags & Wallets›Crossbody Bags","
Fabric type
100% LEATHER
Origin
Imported
Closure type
Twist Lock
Lining
Polyester
",4.4,193,MoLesaDione,AHVJJRHQ3QK7XTY75D533HROX44Q,"It’s spacious and sturdy. It stands on its own upright with no tipping over issues. It’s a heavier bag and the hardware is super durable. I don’t mind the weight at all. It’s distributed proportionally and helps stabilize the bag.

There is a huge outside side/back pocket with a magnet that lines up very smoothly along the bag. You could fit a tablet in it for sure. Two slot pockets on the inside, a larger zip compartment and a smaller card pocket in front of that one. All lined up perfectly along the sides of the bag.

The outside flap is super stiff. You’ll need both hands to open the bag because you can’t just flip the flap to the back… not a problem for me. This bag reminds me of a mix of a Chanel boy bag and a mini briefcase.

Again, love the sturdiness of this handbag. It’s perfect if you carry a handgun. And you have plenty of room for everything else.

My only complaint is the Graphite color is much darker in person than what it looks like on this site. I did some research beforehand and I was prepared for either color. I would have returned it had I not been aware of this.

Packaging was great! Hardware was wrapped and all stuffing intact. My bag has no deformities due to packaging.

Item shipped on time in 2 days…

I recommend you get it. Select your preferred seller and get ready to enjoy your new addition. Lol.",162,4,TRUE
Verabradley Womens Cotton Evie Crossbody Purse,B0CQGXSQ3W,"COTTON -- The fabric you know & love, our cotton is lightweight yet durable, & comes in a variety of colorful patterns
EVERYDAY USE - Vera Bradley crossbody bags for women are perfect for any occasion - whether you are heading to work, on a weekend getaway, going to a party, or traveling, they are your perfect daily companion to wear over your shoulder or as a sling bag
A TRAVEL MUST HAVE - We have designed this necessity for every traveler – the interior has 1 zip pocket to keep your essentials in order - With a 56 inch adjustable strap, you decide how your bag fits you
ESSENTIALS AT YOUR FINGERTIPS - Securely store your wallet, keys, & essentials, while sporting a chic crossbody bag for when you reach your destination - the exterior features 2 compartments and a back slip that is ideal for quickly accessing your phone or keys
STYLISH, LIGHTWEIGHT & SIZED RIGHT - The Evie Crossbody measures 6 inches high, 8 inches wide, & 3 inches deep, giving you a slim silhouette & convenient storage for your everyday essentials","Sponsored 
Clothing, Shoes & Jewelry›Women›Handbags & Wallets›Crossbody Bags","Fabric type
Cotton
Origin
Imported
Closure type
Zipper
Lining
Cotton
Country of Origin
Cambodia
",4.7,81,Rochelle M. Hechter,AFGFA3ZO4X2SVF3DO3MA4HSYROIQ,"The bag is quite attractive, with enough colors to go with everything - just big enough for essentials. I gave it as a birthday gift.",49,5,TRUE
